PTF FAMILY,PTF TYPE,PTF MODEL,AGENCY
Ship Weather Station,VOS Automatic Weather Station,METOCEAN DECK DRIFTER,METOCEAN Data Systems
Ship Weather Station,VOS Automatic Weather Station,MetOcean Deck Drifter,METOCEAN Data Systems
Ship Weather Station,VOS Automatic Weather Station,MICHELSON,CHRISTIAN MICHELSEN RESEARCH A/S
Ship Weather Station,VOS Automatic Weather Station,MILOS 500 - DWDGFSF,VAISALA
Ship Weather Station,VOS Automatic Weather Station,MILOS 500 - YOURLINK,VAISALA
Ship Weather Station,VOS Automatic Weather Station,MILOS 520,VAISALA
Ship Weather Station,VOS Automatic Weather Station,MINOS,SERPE IESM
Ship Weather Station,VOS Automatic Weather Station,MIROS,MIROS
Ship Weather Station,VOS Automatic Weather Station,MSTARSHIP,METEOROLOGICAL SERVICE OF NEW ZEALAND LTD
Ship Weather Station,VOS Automatic Weather Station,OSC SYSTEM,
Ship Weather Station,VOS Automatic Weather Station,POLARSTERN SYSTEM,Alfred Wegener Institute for Polar and Marine Research
Ship Weather Station,VOS Automatic Weather Station,SEAS AUTOIMET,National Oceanic and Atmospheric Administation
Ship Weather Station,VOS Automatic Weather Station,TECHSAS,
Ship Weather Station,VOS Automatic Weather Station,TURBOWIN+ AUTO,Royal Netherlands Meteorological Institute
Ship Weather Station,VOS Manual Weather Station,AMVERS/SEAS,National Oceanic and Atmospheric Administation
Ship Weather Station,VOS Manual Weather Station,C5-SAM,Coastal Environmental Systems
Ship Weather Station,VOS Manual Weather Station,DMAWDS,National Oceanic and Atmospheric Administation
Ship Weather Station,VOS Manual Weather Station,GENERIC MANUAL,
Ship Weather Station,VOS Manual Weather Station,OBSJMA,Japan Meteorological Agency
Ship Weather Station,VOS Manual Weather Station,TURBOWEB,Royal Netherlands Meteorological Institute
Ship Weather Station,VOS Manual Weather Station,TURBOWIN,Royal Netherlands Meteorological Institute
Ship Weather Station,VOS Manual Weather Station,TURBOWIN+ MANUAL,Royal Netherlands Meteorological Institute
Shipboard CTD,CTD_ROSETTE,SBE911_P,
Subsurface Profiler,Float,ALAMO,MRV Systems
Subsurface Profiler,Float,ALTO,MRV Systems
Subsurface Profiler,Float,APEX,Teledyne RD Instruments
Subsurface Profiler,Float,APEX_EM,Teledyne RD Instruments
Subsurface Profiler,Float,ARVOR,NKE Instrumentation
Subsurface Profiler,Float,ARVOR_L,NKE Instrumentation
Subsurface Profiler,Float,COPEX,
Subsurface Profiler,Float,FLOAT,UNKNOWN AGENCY
Subsurface Profiler,Float,HM2000,Qingdao Hisun Ocean Equipment Corporation Limited
Subsurface Profiler,Float,HM4000,Qingdao Hisun Ocean Equipment Corporation Limited
Subsurface Profiler,Float,NAVIS_A,"Sea-Bird Electronics, Inc."
Subsurface Profiler,Float,Navis_BGC,"Sea-Bird Electronics, Inc."
Subsurface Profiler,Float,NAVIS_EBR,"Sea-Bird Electronics, Inc."
Subsurface Profiler,Float,NEMO,OPTIMARE Sensorsysteme AG
Subsurface Profiler,Float,NINJA,"TSURUMI-SEIKI CO., LTD"
Subsurface Profiler,Float,NOVA,METOCEAN Data Systems
Subsurface Profiler,Float,PALACE,Teledyne RD Instruments
Subsurface Profiler,Float,PROVOR,NKE Instrumentation
Subsurface Profiler,Float,PROVOR_II,NKE Instrumentation
Subsurface Profiler,Float,PROVOR_III,NKE Instrumentation
Subsurface Profiler,Float,PROVOR_III - Jumbo,
Subsurface Profiler,Float,PROVOR_IV,NKE Instrumentation
Subsurface Profiler,Float,PROVOR_MT,METOCEAN Data Systems
Subsurface Profiler,Float,PROVOR_V,
Subsurface Profiler,Float,SOLO,Scripps Institution of Oceanography 
Subsurface Profiler,Float,SOLO_BGC,Scripps Institution of Oceanography 
Subsurface Profiler,Float,SOLO_BGC_MRV,MRV Systems
Subsurface Profiler,Float,SOLO_II,Scripps Institution of Oceanography 
Subsurface Profiler,Float,SOLO_W,Woods Hole Oceanographic Institution
Subsurface Profiler,Float,S2A,MRV Systems
Subsurface Profiler,Float,S2X,MRV Systems
Subsurface Profiler,Float Coastal,ARVOR_C,NKE Instrumentation
Subsurface Profiler,Float Deep,APEX_D,Teledyne RD Instruments
Subsurface Profiler,Float Deep,ARVOR_D,NKE Instrumentation
Subsurface Profiler,Float Deep,NINJA_D,"TSURUMI-SEIKI CO., LTD"
Subsurface Profiler,Float Deep,SOLO_D,Scripps Institution of Oceanography 
Subsurface Profiler,Float Deep,SOLO_D_MRV,MRV Systems
Subsurface Profiler,Float Deep,XUANWU,Qingdao Hisun Ocean Equipment Corporation Limited
Subsurface Profiler,Glider,Seaexplorer,IMEV - ALSEAMAR
Subsurface Profiler,Glider,Seaglider,KONGSBERG
Subsurface Profiler,Glider,Seaglider 1KA,KONGSBERG
Subsurface Profiler,Glider,Slocum,Teledyne RD Instruments
Subsurface Profiler,Glider,Slocum G1,Teledyne RD Instruments
Subsurface Profiler,Glider,Slocum G2,Teledyne RD Instruments
Subsurface Profiler,Glider,Slocum G3,Teledyne RD Instruments
Subsurface Profiler,Glider,Slocum thermal,
Subsurface Profiler,Glider,Spray,Bluefin Robotics
Subsurface Profiler,Glider Coastal,Seaglider C2,KONGSBERG
Subsurface Profiler,Glider Coastal,Slocum coastal,Teledyne RD Instruments
Subsurface Profiler,Glider Coastal,Slocum coastal G1 ,
Subsurface Profiler,Glider Coastal,Slocum coastal G2,
Subsurface Profiler,Glider Coastal,Slocum coastal G3,
Subsurface Profiler,Glider Coastal,Spray coastal,Bluefin Robotics
Subsurface Profiler,Glider Deep,DeepExplorer,IMEV - ALSEAMAR
Subsurface Profiler,Glider Deep,Seaglider M6,KONGSBERG
Subsurface Profiler,Ice Tethered Profiler,ITP,Woods Hole Oceanographic Institution
Subsurface Profiler,Polar Ocean Profiling System,POPS_NEMO,OPTIMARE Sensorsysteme AG
Subsurface Profiler,Polar Ocean Profiling System,POPS_NOVA,METOCEAN Data Systems
Subsurface Profiler,Polar Ocean Profiling System,POPS_PROVOR,NKE Instrumentation
Subsurface Profiler,XBT,Devil,Turo Technology Pty. Ltd.
Subsurface Profiler,XBT,LMC-16 DAQ,SIPPICAN
Subsurface Profiler,XBT,MK21 Ethernet DAQ,SIPPICAN
Subsurface Profiler,XBT,MK21 ISA,SIPPICAN
Subsurface Profiler,XBT,MK21 USB DAQ,SIPPICAN
Subsurface Profiler,XBT,Quoll,Turo Technology Pty. Ltd.
Subsurface Profiler,XBT,1 - LM-2A Deck-mounted,
Subsurface Profiler,XBT,100 - MFSTEP Autolauncher,
Subsurface Profiler,XBT,2 - LM-3A Hand-Held,
Subsurface Profiler,XBT,20 - SIO XBT Autolauncher,
Subsurface Profiler,XBT,3 - LM-4A Thru-Hull,
Subsurface Profiler,XBT,30 - AOML XBT V6 Autolauncher,
Subsurface Profiler,XBT,31 - AOML XBT V8.0 Autolauncher,
Subsurface Profiler,XBT,32 - AOML XBT V8.1 Autolauncher,
Subsurface Profiler,XBT,4 - AL-12 TSK Autolauncher,
Subsurface Profiler,XBT,90 - CSIRO Devil Autolauncher,
Underway System,TSG,GENERIC TSG,
Underway System,TSG,SBE 21 SeaCAT Thermosalinograph,"Sea-Bird Electronics, Inc."
Underway System,TSG,SBE 38 Digital Oceanographic Thermometer,"Sea-Bird Electronics, Inc."
Underway System,TSG,SBE 45 Micro TSG Thermosalinograph,"Sea-Bird Electronics, Inc."
Underway System,TSG,SBE 48 Hull Temperature Sensor,"Sea-Bird Electronics, Inc."
Unmanned Surface Vehicle,SailBuoy,SailBuoy,
Unmanned Surface Vehicle,Sailing Drone,SAILDRONE,
Unmanned Surface Vehicle,Wave Glider,WAVEGLIDER,
,,AXIS_Autolauncher,
,,FYF AUTO OBS,HONEYWELL
,,INTERLAKE SYSTEM,Interlake
,,KOAC 7800,KOSHIN DENKI
,,NIMOS,ICON SOFTWARE
,,NOAA_AOML_Autolauncher,
,,PACE,MUIR MATHESON LTD
,,PROVOR_V - Jumbo,
,,0 - XBT Launcher,
