"pub47"|"make"|"model"|"type"|"serial_number"|"parameter"|"reference"
"R Fuess"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"R"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"R, FUESS BERLIN-STEGLITZ RIJKSEIGENDUM K.N.M.I"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"R. FUESS"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"R. Fuess "|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"R.FUESS"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"R.FUSS"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"R.Fuess"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"R.M. YOUNG MODEL 61201"|"RM YOUNG"|"61201"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"R.M. Young model 61201"|"RM YOUNG"|"61201"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"R.Puess Berlin Steglitz 15PM DHI 84/01/79"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"RAMBURG"|"RAMBURG"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"REGULUS CO LTD"|"REGULUS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"RFUESS"|"FUESS"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"RHYTHM WATCH UNKNOWN"|"RHYTHM WATCH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
