"pub47"|"make"|"model"|"type"|"serial_number"|"parameter"|"reference"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA244"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA244"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA245"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA245"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA246"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA246"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA247"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA247"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA248"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA248"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA249"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA249"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA250"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA250"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA251"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA251"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA252"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA252"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA253"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA253"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA254"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA254"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA255"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA255"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA256"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA256"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA257"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA257"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA258"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA258"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA259"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA259"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA260"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA260"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA261"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA261"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA262"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA262"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA263"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA263"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA264"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA264"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA265"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA265"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA266"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA266"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA267"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA267"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA268"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA268"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA269"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA269"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA270"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA270"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA271"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA271"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA272"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA272"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA273"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA273"|"SLP"|"NA"
"VAISALA PTB 220 SERIAL NO 20 TYPE ABA274"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA274"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA242"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA242"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA243"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA243"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA244"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA244"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA245"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA245"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA246"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA246"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA247"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA247"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA248"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA248"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA249"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA249"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA250"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA250"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA251"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA251"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA252"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA252"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA253"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA253"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA254"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA254"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA255"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA255"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA256"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA256"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA257"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA257"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA258"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA258"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA259"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA259"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA260"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA260"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA261"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA261"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA262"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA262"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA263"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA263"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA264"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA264"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA265"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA265"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA266"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA266"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA267"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA267"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA268"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA268"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA269"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA269"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA270"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA270"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA271"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA271"|"SLP"|"NA"
"VAISALA PTB 220 SERIE NUMBER 20 TYPE ABA272"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA272"|"SLP"|"NA"
"VAISALA PTB 330"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB-210B1T1B"|"VAISALA"|"PTB210"|"BAROMETER_ELECTRIC_ANALOG"|"B1T1B"|"SLP"|"NA"
"VAISALA PTB110"|"VAISALA"|"PTB110"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB210"|"VAISALA"|"PTB210"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB220 (SMHI nr 010694)"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"010694"|"SLP"|"NA"
"VAISALA PTB220 BAA2A1A1AB"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"BAA2A1A1AB"|"SLP"|"NA"
"VAISALA PTB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB220A"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB220ACA2A3"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"ACA2A3"|"SLP"|"NA"
"VAISALA PTB220AD"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB220B"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB330"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTB330B (MARINE USE)"|"VAISALA"|"PTB330B"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTU-307"|"VAISALA"|"PTU300"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA PTU200"|"VAISALA"|"PTU200"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA"|"VAISALA"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"VAISALA/005363"|"VAISALA"|"UNKNOWN"|"UNKNOWN"|"005363"|"SLP"|"NA"
"VAISALA/PMT16"|"VAISALA"|"PMT16"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA/PTB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALA/PTB220A"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VAISALAPA21"|"VAISALA"|"PA21"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"VAISALAPTB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VEB FEINGER'A'TEBAU"|"VEB FEINGER'A'TEBAU"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"VIBRACHOC"|"NAUDET"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Vailsala PTB330"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vais PTB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala  PTU 200"|"VAISALA"|"PTU200"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala "|"VAISALA"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"Vaisala - PTB330"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala Helo Deck Monitor  4.1.5"|"VAISALA"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala MAWS"|"VAISALA"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PA11"|"VAISALA"|"PA11"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PMB100"|"VAISALA"|"PMB100"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB 110"|"VAISALA"|"PTB110"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB 200-3"|"VAISALA"|"PTB200"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB 220 serie number 20 type ABA243"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA243"|"SLP"|"NA"
"Vaisala PTB 220 serie number 20 type ABA258"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA258"|"SLP"|"NA"
"Vaisala PTB 220 serie number 20 type ABA262"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"SERIAL NO 20 TYPE ABA262"|"SLP"|"NA"
"Vaisala PTB 220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB 330"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB-210B1T1B"|"VAISALA"|"PTB210"|"BAROMETER_ELECTRIC_ANALOG"|"B1T1B"|"SLP"|"NA"
"Vaisala PTB100"|"VAISALA"|"PTB100"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB100A"|"VAISALA"|"PTB100"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB110"|"VAISALA"|"PTB110"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB200"|"VAISALA"|"PTB200"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB210"|"VAISALA"|"PTB210"|"BAROMETER_ELECTRIC_ANALOG"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB220-1"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB220-3"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB220B"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB300 Triple Cell"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330 -3"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330 triple cell"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330 wihtout display"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330 without Display"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330 without display"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330-3"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330B (General Use)"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330B (Marine Use)"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB330B"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTB33D"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTU 300"|"VAISALA"|"PTU300"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTU200 BAROCAP"|"VAISALA"|"PTU200"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTU200"|"VAISALA"|"PTU200"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTU220"|"VAISALA"|"PTU200"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTU300 combined unit"|"VAISALA"|"PTU300"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTU300"|"VAISALA"|"PTU300"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTU303"|"VAISALA"|"PTU300"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala PTU307"|"VAISALA"|"PTU300"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala WXT520"|"VAISALA"|"WXT520"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala ptb 220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala ptb 330"|"VAISALA"|"PTB330"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala without Display"|"VAISALA"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala"|"VAISALA"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Vaisala/PMT16"|"VAISALA"|"PMT16"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VaisalaPTB220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VaisalaPTB220A"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VaisalaPTB220B"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"VaisalaPTP220"|"VAISALA"|"PTB220"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"Viking"|"BARIGO"|"VIKING"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"WALTERS AND MOHRING"|"WALTERS AND MOHRING"|"UNKNOWN"|"UNKNOWN"|"UNKNOWN"|"SLP"|"NA"
"WEEMS & PLATH"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"WEEMS AND PLATH"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"WEMPE 51633"|"WEMPE"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"51633"|"SLP"|"NA"
"WEMPE CHRONOMETERWERKE HAMBURG"|"WEMPE"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"WEMPE Chronometerwerke Hamburg"|"WEMPE"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"WEMPE"|"WEMPE"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"WEMPE/51633"|"WEMPE"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"51633"|"SLP"|"NA"
"WEMPE/UNKNOWN"|"WEMPE"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Weems & Plath"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Weems Plath"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Weems and Plaith"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Weems and Plath"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Weems andPlath"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Weens and Plath"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"Wheems and Plath"|"WEEMS AND PLATH"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YAMATAKE HONEY WELL"|"HONEYWELL"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"YAMATAKE"|"HONEYWELL"|"UNKNOWN"|"BAROMETER_ELECTRIC_DIGITAL"|"UNKNOWN"|"SLP"|"NA"
"YANAGI  "|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI  TYPE 8A"|"YANAGI"|"8A"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
"YANAGI "|"YANAGI"|"UNKNOWN"|"BAROMETER_ANEROID_HAND"|"UNKNOWN"|"SLP"|"NA"
